pftnum,pftname,kmax minimum (1/s),kmax maximum (1/s),Notes
0,not_vegetated,0,0,not_vegetated default is 0; we don't want to vary these values
1,needleleaf_evergreen_temperate_tree,3.00E-09,3.80E-08,
2,needleleaf_evergreen_boreal_tree,4.00E-09,3.40E-08,
3,needleleaf_deciduous_boreal_tree,3.40E-09,3.10E-08,
4,broadleaf_evergreen_tropical_tree,1.50E-08,1.70E-07,
5,broadleaf_evergreen_temperate_tree,1.30E-08,1.90E-07,
6,broadleaf_deciduous_tropical_tree,8.50E-09,6.00E-08,
7,broadleaf_deciduous_temperate_tree,1.20E-08,2.20E-07,
8,broadleaf_deciduous_boreal_tree,1.30E-08,2.30E-07,
9,broadleaf_evergreen_shrub,2.40E-09,2.00E-08,
10,broadleaf_deciduous_temperate_shrub,9.50E-10,4.10E-09,
11,broadleaf_deciduous_boreal_shrub,5.90E-10,6.20E-09,
12,c3_arctic_grass,2.30E-10,3.60E-09,
13,c3_non-arctic_grass,4.00E-10,3.00E-09,
14,c4_grass,3.10E-10,1.90E-09,
15,c3_crop,1.60E-09,3.10E-08,
16,c3_irrigated,1.60E-09,3.10E-08,
17,temperate_corn,1.60E-09,3.10E-08,
18,irrigated_temperate_corn,1.60E-09,3.10E-08,
19,spring_wheat,1.60E-09,3.10E-08,
20,irrigated_spring_wheat,1.60E-09,3.10E-08,
21,winter_wheat,1.60E-09,3.10E-08,
22,irrigated_winter_wheat,1.60E-09,3.10E-08,
23,temperate_soybean,1.60E-09,3.10E-08,
24,irrigated_temperate_soybean,1.60E-09,3.10E-08,
25,barley,1.60E-09,3.10E-08,
26,irrigated_barley,1.60E-09,3.10E-08,
27,winter_barley,1.60E-09,3.10E-08,
28,irrigated_winter_barley,1.60E-09,3.10E-08,
29,rye,1.60E-09,3.10E-08,
30,irrigated_rye,1.60E-09,3.10E-08,
31,winter_rye,1.60E-09,3.10E-08,
32,irrigated_winter_rye,1.60E-09,3.10E-08,
33,cassava,1.60E-09,3.10E-08,
34,irrigated_cassava,1.60E-09,3.10E-08,
35,citrus,1.60E-09,3.10E-08,
36,irrigated_citrus,1.60E-09,3.10E-08,
37,cocoa,1.60E-09,3.10E-08,
38,irrigated_cocoa,1.60E-09,3.10E-08,
39,coffee,1.60E-09,3.10E-08,
40,irrigated_coffee,1.60E-09,3.10E-08,
41,cotton,1.60E-09,3.10E-08,
42,irrigated_cotton,1.60E-09,3.10E-08,
43,datepalm,1.60E-09,3.10E-08,
44,irrigated_datepalm,1.60E-09,3.10E-08,
45,foddergrass,1.60E-09,3.10E-08,
46,irrigated_foddergrass,1.60E-09,3.10E-08,
47,grapes,1.60E-09,3.10E-08,
48,irrigated_grapes,1.60E-09,3.10E-08,
49,groundnuts,1.60E-09,3.10E-08,
50,irrigated_groundnuts,1.60E-09,3.10E-08,
51,millet,1.60E-09,3.10E-08,
52,irrigated_millet,1.60E-09,3.10E-08,
53,oilpalm,1.60E-09,3.10E-08,
54,irrigated_oilpalm,1.60E-09,3.10E-08,
55,potatoes,1.60E-09,3.10E-08,
56,irrigated_potatoes,1.60E-09,3.10E-08,
57,pulses,1.60E-09,3.10E-08,
58,irrigated_pulses,1.60E-09,3.10E-08,
59,rapeseed,1.60E-09,3.10E-08,
60,irrigated_rapeseed,1.60E-09,3.10E-08,
61,rice,1.60E-09,3.10E-08,
62,irrigated_rice,1.60E-09,3.10E-08,
63,sorghum,1.60E-09,3.10E-08,
64,irrigated_sorghum,1.60E-09,3.10E-08,
65,sugarbeet,1.60E-09,3.10E-08,
66,irrigated_sugarbeet,1.60E-09,3.10E-08,
67,sugarcane,1.60E-09,3.10E-08,
68,irrigated_sugarcane,1.60E-09,3.10E-08,
69,sunflower,1.60E-09,3.10E-08,
70,irrigated_sunflower,1.60E-09,3.10E-08,
71,miscanthus,1.60E-09,3.10E-08,
72,irrigated_miscanthus,1.60E-09,3.10E-08,
73,switchgrass,1.60E-09,3.10E-08,
74,irrigated_switchgrass,1.60E-09,3.10E-08,
75,tropical_corn,1.60E-09,3.10E-08,
76,irrigated_tropical_corn,1.60E-09,3.10E-08,
77,tropical_soybean,1.60E-09,3.10E-08,
78,irrigated_tropical_soybean,1.60E-09,3.10E-08,